indie,action,casual,adventure,strategy,simulation,rpg,free_to_play,cluster,color
1,9,0,1,1,0,2,2,0,red
6,13,3,5,5,4,11,16,1,dodgerblue
2,5,0,2,2,3,2,3,0,red
1,1,0,1,2,2,1,0,0,red
9,14,4,6,2,3,4,14,1,dodgerblue
0,3,0,1,0,0,2,1,0,red
3,7,0,2,1,0,2,0,0,red
4,1,1,2,1,2,1,0,0,red
0,2,0,0,0,0,0,0,0,red
1,2,0,0,0,2,0,1,0,red
3,4,0,2,2,5,3,0,0,red
14,43,1,22,4,11,7,8,1,dodgerblue
8,13,0,7,8,6,10,2,1,dodgerblue
0,2,0,0,0,0,0,0,0,red
0,2,0,0,0,0,0,1,0,red
15,15,1,8,8,9,9,2,1,dodgerblue
21,38,2,13,10,13,13,9,1,dodgerblue
1,6,0,2,1,0,0,2,0,red
0,10,0,4,2,1,0,0,0,red
0,3,0,0,0,0,0,1,0,red
13,13,0,12,4,5,3,1,0,red
0,2,0,0,0,1,0,1,0,red
3,6,2,3,1,2,3,7,0,red
0,2,0,0,0,0,0,0,0,red
2,3,1,1,1,0,0,2,0,red
13,27,6,14,4,2,20,12,1,dodgerblue
0,2,0,0,0,0,0,0,0,red
2,0,0,0,7,1,1,1,0,red
3,6,0,0,2,1,0,4,0,red
1,3,0,0,1,0,0,1,0,red
0,5,0,0,0,0,0,0,0,red
0,2,0,0,1,0,0,1,0,red
0,2,0,0,0,0,0,0,0,red
0,2,0,0,0,0,0,0,0,red
0,5,0,0,2,1,0,2,0,red
1,3,0,1,1,0,1,1,0,red
23,32,6,19,3,6,9,5,1,dodgerblue
18,14,0,7,21,9,20,3,1,dodgerblue
61,76,9,33,59,37,40,4,2,peru
0,2,0,0,0,0,0,0,0,red
2,7,1,2,1,1,0,1,0,red
0,3,0,0,0,0,0,0,0,red
0,2,0,0,0,0,0,0,0,red
0,3,0,0,1,0,0,1,0,red
12,28,3,13,3,4,10,1,1,dodgerblue
0,4,0,0,0,0,0,0,0,red
2,5,1,2,1,0,2,3,0,red
0,3,0,0,0,0,0,1,0,red
4,1,1,0,7,5,4,0,0,red
5,7,3,3,1,0,5,8,0,red
0,2,0,0,0,0,0,0,0,red
0,3,0,0,0,0,0,1,0,red
3,7,1,0,8,3,1,1,0,red
0,2,0,0,0,0,0,0,0,red
0,2,0,0,0,0,2,1,0,red
6,7,3,3,0,1,2,8,0,red
21,27,7,14,10,9,14,6,1,dodgerblue
5,9,0,1,2,0,2,2,0,red
6,11,2,3,2,1,1,5,0,red
48,79,8,46,19,16,41,12,2,peru
0,3,0,0,0,0,0,0,0,red
15,27,3,17,8,7,7,4,1,dodgerblue
0,4,0,0,0,0,0,1,0,red
9,10,2,11,3,2,6,3,0,red
0,3,0,0,1,0,0,2,0,red
36,50,7,19,11,5,18,3,1,dodgerblue
2,5,0,1,1,0,0,2,0,red
1,4,0,1,7,1,2,0,0,red
0,8,0,3,0,0,1,2,0,red
1,5,1,2,1,0,1,3,0,red
0,0,0,0,2,0,0,0,0,red
45,49,15,23,9,10,24,14,2,peru
2,2,2,3,1,1,1,1,0,red
0,3,0,0,0,0,0,0,0,red
3,1,0,0,4,2,2,0,0,red
1,5,0,1,1,0,0,3,0,red
3,11,1,1,3,0,2,4,0,red
0,2,0,0,1,1,0,0,0,red
0,4,0,0,0,0,0,1,0,red
0,2,0,0,0,0,0,1,0,red
78,100,22,31,31,13,30,28,2,peru
0,2,0,0,2,1,1,1,0,red
0,0,0,0,2,2,1,0,0,red
2,9,1,2,2,2,2,1,0,red
3,8,0,2,0,1,1,4,0,red
0,0,0,0,4,4,1,0,0,red
3,1,0,0,0,3,0,0,0,red
6,13,2,5,5,2,4,2,0,red
17,4,1,3,26,14,11,3,1,dodgerblue
5,0,1,2,6,5,1,1,0,red
4,17,0,4,4,1,2,2,0,red
6,12,0,2,4,2,5,2,0,red
0,10,0,6,3,1,1,1,0,red
30,48,15,11,9,3,7,6,1,dodgerblue
20,26,3,8,11,15,11,8,1,dodgerblue
0,4,1,2,0,0,3,1,0,red
0,3,0,0,0,0,0,0,0,red
1,10,0,2,3,1,1,3,0,red
58,54,13,49,20,14,12,2,2,peru
0,0,0,0,2,2,0,0,0,red
0,2,0,0,0,0,0,0,0,red
29,36,3,16,13,0,18,7,1,dodgerblue
1,1,0,1,0,0,0,0,0,red
0,1,0,0,0,0,1,0,0,red
5,1,1,1,8,5,5,2,0,red
2,5,1,0,0,0,0,2,0,red
0,4,0,0,1,2,0,4,0,red
0,4,0,0,1,0,0,2,0,red
3,10,0,5,2,1,2,1,0,red
12,18,2,8,6,2,9,4,1,dodgerblue
1,2,0,0,1,0,0,2,0,red
56,35,12,29,14,13,16,4,2,peru
9,19,1,8,4,6,8,6,1,dodgerblue
0,2,0,0,0,0,0,0,0,red
2,4,1,1,0,0,2,0,0,red
0,3,0,0,0,0,0,0,0,red
0,4,0,0,0,0,0,0,0,red
0,4,0,0,0,0,0,0,0,red
0,3,0,0,0,0,0,1,0,red
77,76,15,34,19,14,17,3,2,peru
13,21,2,17,2,1,16,3,1,dodgerblue
0,4,0,1,0,0,0,1,0,red
1,10,0,2,1,0,2,2,0,red
0,2,0,0,0,0,0,1,0,red
5,5,0,3,0,0,3,0,0,red
1,2,0,1,0,0,1,1,0,red
0,6,0,1,0,1,1,0,0,red
6,6,0,2,10,11,7,1,1,dodgerblue
13,15,4,11,4,2,7,1,1,dodgerblue
0,2,0,0,0,0,0,0,0,red
6,8,0,5,0,2,4,0,0,red
0,2,0,0,0,0,0,0,0,red
11,22,3,7,3,2,4,4,1,dodgerblue
20,17,4,10,4,4,15,2,1,dodgerblue
12,8,2,5,14,8,6,1,1,dodgerblue
0,3,0,1,0,0,2,0,0,red
0,3,0,0,0,0,0,1,0,red
0,0,0,0,1,0,1,0,0,red
0,1,0,0,1,0,0,0,0,red
0,2,0,0,0,0,0,1,0,red
28,25,3,22,7,8,11,0,1,dodgerblue
33,49,7,22,12,8,17,8,1,dodgerblue
6,14,1,2,3,4,4,9,0,red
0,3,0,2,0,0,2,0,0,red
3,11,0,4,2,2,2,2,0,red
39,67,5,27,15,11,30,24,2,peru
9,18,0,12,5,4,5,1,1,dodgerblue
12,14,1,5,5,2,6,2,0,red
0,4,0,0,1,1,1,0,0,red
1,8,0,6,0,0,0,1,0,red
0,3,0,0,1,0,0,3,0,red
1,7,0,3,2,3,3,2,0,red
2,5,0,1,0,1,2,1,0,red
0,2,0,0,1,0,1,1,0,red
11,18,0,3,12,12,3,7,1,dodgerblue
0,1,0,0,1,0,1,1,0,red
8,13,0,2,3,6,4,6,0,red
1,3,0,1,0,0,1,1,0,red
3,9,0,3,3,3,2,1,0,red
0,1,0,1,0,0,1,0,0,red
32,50,2,23,5,2,12,2,1,dodgerblue
5,15,0,6,6,1,6,3,0,red
0,7,0,0,1,0,0,2,0,red
0,2,0,0,0,0,0,1,0,red
1,4,0,1,3,1,0,2,0,red
0,2,0,2,2,1,0,0,0,red
0,4,0,2,0,0,1,0,0,red
10,16,3,6,5,7,3,2,1,dodgerblue
6,7,1,5,3,5,5,2,0,red
