controller_support,dlc,website,pc,mac,linux,demos,reviews,movies,recommendations,achievements,developer,publisher,positive,negative,initialprice,language_count,metacritic_score,single_player,multi_player,online_multi_player,local_multi_player,valve_anti_cheat,steam_achievements,steam_trading_cards,steam_cloud,full_controller_support,partial_controller_support,steam_leaderboards,indie,action,casual,adventure,strategy,simulation,early access,rpg,free_to_play,racing,sports,violent,gore,sexual_content,nudity,education,self_published,label
0,0,0,1,0,0,0,0,0,1,1,Strategy First,Strategy First,137,102,4.99,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6
0,0,0,1,0,0,0,0,0,1,1,Malfador Machinations,Strategy First,191,85,14.99,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
0,0,1,1,0,0,1,1,0,1,1,Arkane Studios,Arkane Studios,671,106,4.99,6,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3
0,0,1,1,0,1,0,1,1,1,1,Reality Pump Studios,"Topware Interactive, ACE",498,238,4.99,8,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3,1,1,1,1,0,1,1,1,1,Reality Pump Studios,Topware Interactive,2656,1055,9.99,8,0.0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0,0,1,0,0,1,1,Arkane Studios,Ubisoft,4386,316,9.99,5,0.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,1,0,0,1,1,id Software,id Software,1362,66,14.99,1,0.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
0,0,1,1,0,0,0,0,0,1,1,RavenSoft / id Software,Bethesda Softworks,891,171,14.99,1,0.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,1,0,0,0,0,0,1,1,id Software,Bethesda-Softworks,1773,87,4.99,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,1,0,0,0,0,0,1,1,id Software,id Software,3705,257,4.99,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
0,0,0,1,0,0,0,0,0,1,1,id Software,id Software,573,82,4.99,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
0,0,0,1,0,0,0,0,0,1,1,id Software,id Software,2517,182,4.99,1,0.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
0,0,0,1,0,0,0,0,0,1,1,id Software,id Software,2618,136,4.99,1,0.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
0,0,0,1,0,0,1,0,0,1,1,id Software,id Software,1369,107,4.99,1,0.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
0,0,0,1,0,0,0,0,0,0,1,Xatrix Entertainment,id Software,65,12,2.99,1,0.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,1,0,0,0,0,0,0,1,Rogue Entertainment,id Software,54,33,2.99,1,0.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,1,0,0,1,0,0,1,1,id Software,id Software,108,31,14.99,1,0.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
0,0,0,1,0,0,0,0,0,1,1,Raven Software,id Software,249,26,4.99,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,1,0,0,0,0,0,0,1,Raven Software,id Software,57,20,4.99,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,1,0,0,0,0,0,1,1,Raven Software,id Software,417,29,4.99,1,0.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,1,1,0,0,0,1,1,1,1,Outerlight Ltd.,Blazing Griffin Ltd.,4819,792,9.99,8,0.0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0,1,1,1,Outerlight Ltd.,Blazing Griffin Ltd.,586,247,0.0,8,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
0,0,0,1,0,0,0,0,0,1,1,Outerlight Ltd.,Ubisoft,662,204,4.99,1,0.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,1,1,1,0,1,1,1,1,1,Frozenbyte,Frozenbyte,973,248,6.99,1,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
0,0,1,1,0,0,0,1,0,0,1,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",52,46,4.99,3,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
0,0,0,1,0,0,0,1,0,1,1,Elephant Games,Empty,199,131,4.99,1,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,1,0,0,0,0,0,1,1,Freegamer,Empty,29,108,0.0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
0,0,1,1,0,0,0,1,0,1,1,Black Element,Bohemia Interactive,610,523,4.99,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,1,1,0,0,0,0,0,1,1,Troika Games,Activision,6161,362,19.99,3,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0,0,0,1,0,0,0,0,0,1,1,Neversoft,Activision,740,87,19.99,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,0,1,1,1,0,0,0,0,1,1,Infinity Ward,Activision,1555,117,19.99,2,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,1,1,1,0,0,0,0,1,1,"Infinity Ward, Aspyr (Mac)","Activision, Aspyr (Mac)",2434,236,19.99,5,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,1,1,1,0,0,0,0,1,1,Gray Matter Studios,Activision,490,97,19.99,3,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,1,1,1,0,0,0,0,1,1,"Frontier, Aspyr (Mac)","Atari, Aspyr (Mac)",3325,399,0.0,10,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12
0,0,0,1,0,0,0,0,0,1,1,Eugen Systems,THQ Nordic,180,33,2.99,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,1,1,0,0,1,1,0,0,1,Iocaine Studios,Atari,31,9,4.99,1,0.0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,1,1,0,0,0,0,0,1,1,Bohemia Interactive,Bohemia Interactive,145,77,7.99,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
0,0,1,1,0,0,0,0,1,1,1,Egosoft,Egosoft,212,50,4.99,8,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8
0,1,1,1,1,1,0,0,1,1,1,Egosoft,Egosoft,282,113,9.99,10,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8
1,3,1,1,1,1,0,0,1,1,1,Egosoft,Egosoft,1633,272,15.99,11,0.0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,12
